Object ID:1
Tracking Start:2018-11-09 19:02:58
2018-11-09 19:10:11[ 201.  169.]
2018-11-09 19:10:11[ 197.5  167.5]
2018-11-09 19:10:11[ 205.  166.]
2018-11-09 19:10:12[ 195.5  167.5]
2018-11-09 19:10:12[ 202.  172.]
2018-11-09 19:10:12[ 207.  173.]
2018-11-09 19:10:12[ 207.  173.]
2018-11-09 19:10:13[ 205.  173.]
2018-11-09 19:10:13[ 208.  173.]
2018-11-09 19:10:13[ 206.5  173.5]
2018-11-09 19:10:13[ 205.5  172.5]
2018-11-09 19:10:14[ 207.5  174.5]
2018-11-09 19:10:14[ 209.5  173.5]
2018-11-09 19:10:14[ 207.5  170.5]
2018-11-09 19:10:14[ 211.  173.]
2018-11-09 19:10:15[ 219.  178.]
2018-11-09 19:10:15[ 223.  177.]
2018-11-09 19:10:15[ 217.5  177.5]
2018-11-09 19:10:18[ 340.5  194.5]
2018-11-09 19:10:18[ 314.5  180.5]
2018-11-09 19:10:19[ 308.5  181.5]
